gene,scores,log2FC,pvalue,padj,is_zinc
ATP5C1,3.1515703,1.3992114,0.0016239509584684252,0.06617912282498907,False
TRAT1,3.1460342,0.8460763,0.001655006136729792,0.06720343782357881,False
SEP15,3.1246285,1.5124729,0.001780297504519545,0.07116763481936407,False
SUMO2,3.1135566,0.17396738,0.0018484709223232176,0.07326666564844753,False
RPS13,3.110481,0.13979352,0.0018678291662343098,0.07392005764955598,False
H2AFY,3.0859997,1.6549906,0.0020286904636021693,0.07877137129917314,False
INPP4B,3.0800946,0.7612721,0.0020693483578816513,0.08004799572653774,False
ATP5F1,3.0335925,1.6034461,0.0024166067618470025,0.09135164194232519,False
COX6B1,3.0228896,0.1996826,0.0025037362100020872,0.0941609799211896,False
AC009501.4,3.020306,2.6027503,0.002525193566953211,0.09462211116723147,False
TMEM173,3.019814,2.738332,0.0025292997038419366,0.09470699502420665,False
EEF1B2,3.0062816,0.19802874,0.002644639556591957,0.0980976322332682,False
LUC7L3,3.0046823,0.535719,0.0026585836892630233,0.09847286799510728,False
FAM60A,3.003329,3.708278,0.002670435021413779,0.098840676965249,False
C1orf56,3.0008686,2.1063287,0.0026921066727945754,0.09949964375139031,False
OCIAD2,2.9837687,0.51656395,0.00284721983704966,0.10396292844324408,False
MAL,2.9697442,0.87405,0.0029804786344707654,0.10798567942693799,False
CCL5,2.9615016,0.5340401,0.0030614280559354925,0.1105293688573819,False
CCZ1,2.9484613,2.0143888,0.003193600229899816,0.11497854767521747,False
DBI,2.9437866,0.35320425,0.00324223503382978,0.11620669971510238,False
EMP3,2.9306233,0.21972433,0.003382827736261138,0.11986206706278446,False
BTG2,2.9138923,0.84175414,0.003569530358532593,0.12512576558173333,False
C19orf66,2.8990066,2.6417265,0.0037434693345806598,0.13021907391852994,False
TMEM258,2.8965461,0.2919948,0.0037729504374320135,0.13106735591154775,False
SLC9A3R1,2.8404484,2.4547112,0.004505017009941798,0.15011276886495184,False
CORO1B,2.8237174,0.58048797,0.0047470223117664296,0.15615396668526807,False
DSCAM,2.8126454,4.821728,0.00491357995204617,0.16050403896690243,False
SH3BGRL3,2.803665,0.21502022,0.005052539722745275,0.16410546947967103,False
C14orf1,2.7973907,3.7409096,0.005151718934286117,0.16629941600830503,False
GPX4,2.7729094,0.24224745,0.005555758418522931,0.17679161936822108,False
RPL35A,2.770818,0.12532969,0.005591566364263068,0.17746755478630866,False
CD3D,2.7572856,0.38451073,0.005828341106597626,0.18373559635553594,False
C17orf89,2.7320662,2.7712827,0.00629384927455174,0.1956531465118658,False
PSMD5-AS1,2.724316,2.9582207,0.006443485509700507,0.1992214197734806,False
NKTR,2.719272,0.626415,0.006542579360171467,0.20180013364634392,False
PFDN5,2.7075849,0.1046612,0.006777473687093408,0.20824878977334668,False
PPDPF,2.7056165,0.18762392,0.006817772240063016,0.20894088308285158,False
RPS27L,2.680643,0.37028128,0.007348083348937646,0.220820205687,False
GZMK,2.6724007,0.43429974,0.007531066640134877,0.22487424056973834,False
LINC00685,2.6657574,3.1785958,0.007681507979983005,0.22817449339155063,False
PROSC,2.6607137,3.4069195,0.007797524921912051,0.23135355373848399,False
SNRPD2,2.611382,0.08216173,0.009017712785268013,0.2600992852669672,False
LINC00969,2.6049848,2.6291258,0.00918783429865532,0.2637810820296981,False
ATP5D,2.6030164,2.1125596,0.009240752619546218,0.2651523930677155,False
EGR1,2.5963733,1.7343665,0.009421365782162811,0.26967965603347277,False
RPS21,2.5934207,0.13834138,0.009502644176313205,0.27160668754608985,False
PRR4,2.5813646,2.7868657,0.009841058539589208,0.2792624267759435,False
FAM96A,2.5729992,2.090107,0.010082146171650376,0.2836010148928751,False
GMFB,2.571523,1.149245,0.01012523282815323,0.28465736532394936,False
IDI1,2.5702927,0.8551251,0.010161263537422072,0.28535845331511506,False
SS18L2,2.5643876,0.5595865,0.010335804765979123,0.2894151325145041,False
MESDC2,2.543474,1.9832399,0.01097562510917811,0.30309928106118916,False
HMHA1,2.5250206,1.7782538,0.011569148772078494,0.3162643815227919,False
MZT2A,2.5182545,0.5142645,0.011793808047665682,0.32104118329963177,False
C20orf24,2.5070596,2.7964168,0.01217402203721276,0.32912721270127276,False
UBL5,2.503984,0.15364556,0.012280360588001745,0.3309586126409187,False
SNRPE,2.4978328,0.46174932,0.01249550928044001,0.33500206433563195,False
ZNF75A,2.4935272,1.3514304,0.012648092832952615,0.3376850441462097,False
TCF25,2.475566,0.3707536,0.01330251978702591,0.3497128451726668,False
TMEM261,2.4668314,2.3304005,0.013631452831113534,0.35569842598087587,False
SOD1,2.4555135,0.22213176,0.014068351075119723,0.36628973993560704,False
S100A4,2.45293,0.33062896,0.014169793496668252,0.368185624149792,False
PRDM1,2.4520688,0.94042426,0.014203750776670772,0.36888166075626344,False
RPS2,2.4429653,-0.18612367,0.014567142781872988,0.3752881130905365,False
MMP24-AS1,2.4396436,3.5173888,0.014701758624746772,0.3779990393433143,False
S1PR4,2.4373062,0.59833056,0.014797144426512145,0.37931414372456246,False
EIF3J-AS1,2.4261112,3.9392724,0.015261593121778147,0.38870219946992185,False
QARS,2.4236507,1.99795,0.015365373728819725,0.39102987239959935,False
EBLN3,2.401753,2.0047035,0.016316725901742008,0.4086966476109167,False
SUB1,2.3745651,0.1579403,0.01756963743644018,0.4290093530279898,False
UQCRB,2.3701363,0.056377843,0.0177815276502645,0.43309440920986314,False
THUMPD3-AS1,2.3541436,0.8167346,0.018565442410099102,0.4482190901524067,False
FAM195B,2.3407342,2.2156568,0.0192458667890691,0.45983641511817835,False
RTFDC1,2.3144076,1.6147603,0.02064538057340163,0.485006182529848,False
CD79B,2.3091176,0.1505276,0.020937058943036956,0.49029121916311574,False
ARRDC3,2.3051808,1.634419,0.02115644642276663,0.4928977952870434,False
GUK1,2.2868507,0.17146938,0.02220454348925893,0.5113604984043838,False
RP11-660L16.2,2.2752867,4.506451,0.022888743803905615,0.521682717795631,False
TSPO,2.2739334,0.29445183,0.022969994538715954,0.5226715077522593,False
C19orf53,2.2699966,0.21402273,0.023207786370344867,0.5261578274766352,False
C11orf73,2.266921,2.3913937,0.023395045641876857,0.529067388212431,False
C17orf62,2.266552,1.9149901,0.023417604650490698,0.5293448699729549,False
TRBC2,2.2647066,0.2795751,0.023530683127447948,0.5313713448853484,False
UBXN1,2.2508054,0.1943822,0.024397874147508544,0.5457486213656607,False
C12orf65,2.2447772,3.6118605,0.02478243930838407,0.5531483460033595,False
FAM45A,2.2282922,2.809279,0.025861030269021194,0.571029306987383,False
EIF3K,2.227431,0.079189815,0.025918473425917698,0.5718068699899717,False
VAMP2,2.2246017,0.17167392,0.026107992670666328,0.5745098404279048,False
C19orf24,2.2184505,2.4759927,0.026524127631208497,0.5803127020256656,False
TROVE2,2.2173433,2.8287456,0.026599637310110544,0.5805472333854174,False
COX7A2,2.2127914,0.14681312,0.026912019963049472,0.5844531882899828,False
LARS,2.209716,2.7000892,0.027124877953520338,0.5882055733482653,False
PLEC,2.1950765,1.0204952,0.028158115957919658,0.604119578733549,False
C20orf27,2.176131,3.487282,0.029545460387171114,0.6265683619122752,False
ACAP1,2.1683807,0.20159696,0.03012973184892441,0.6336721169465058,False
RPL29,2.1669044,0.1293707,0.03024214032182839,0.635060259296909,False
RP11-255M2.3,2.164567,2.3573666,0.03042085734379284,0.6372525523711132,False
EVI2A,2.1507885,0.9379248,0.031492888607461404,0.6542558453870145,False
RPL10A,2.1489432,0.013409895,0.031638896172801474,0.6563540041525364,False
SARS,2.1450067,2.100742,0.03195232022151449,0.6607246667027642,False
RPS5,2.1408238,0.14266156,0.032288245866376936,0.6663319989303492,False
TMEM123,2.1338117,0.36274156,0.032858204936628686,0.6756550469942736,False
USP16,2.1153584,0.63397247,0.034399416302563095,0.6992418688005793,False
BLOC1S1,2.1114216,0.3219238,0.03473608487898455,0.70441548870871,False
C12orf10,2.101826,2.621911,0.03556852357874134,0.7173380639275124,False
PQLC3,2.0848489,2.3693736,0.0370830119256095,0.7394755029258749,False
LINC00998,2.0655346,2.3940666,0.038872448846170894,0.7659554761538874,False
MYO1F,2.055816,0.444082,0.039800270003724464,0.7770946076476721,False
DARS,2.0491726,2.1600325,0.04044523311665556,0.7857474935861303,False
PHB,2.0467122,1.589193,0.040686346776951834,0.7892397480924664,False
PLK3,2.0452359,1.2462076,0.040831598960217264,0.7906300727532021,False
CD44,2.0416684,0.226201,0.041184440357357216,0.795665447805225,False
MSMO1,2.034902,1.5002717,0.04186071910094383,0.8052155076033524,False
RGS1,2.0305965,1.9095745,0.042295953697749245,0.8116531987474089,False
AC005540.3,2.0254295,2.5568085,0.042823282546687574,0.8190231377182091,False
XIST,2.0187862,1.147072,0.043509434471946364,0.8284505494865643,False
ATP5EP2,2.0153418,2.3844066,0.04386885818048372,0.8343044381012971,False
FAM103A1,1.9994719,2.2095792,0.045557319070813736,0.8553510395357518,False
RP11-138A9.1,1.9711769,2.9528463,0.04870364426780085,0.8941951032451492,False
TIMP1,1.9613352,0.44594234,0.04983993706665676,0.9076690556479139,False
WASF2,1.9587517,0.40618837,0.05014187080832639,0.9109106530179294,False
SQLE,1.9434971,1.7895257,0.051956134791702496,0.9349560065629626,False
MAF,1.9353776,1.4737316,0.052943977330413096,0.9463834494322506,False
TMEM55B,1.9227064,2.676965,0.05451693854438417,0.9671680876660265,False
TOPORS-AS1,1.9126185,2.2477465,0.055796900270743674,0.984444075833066,False
UQCRHL,1.909297,1.4635847,0.0562237908747048,0.9902778476281453,False
SYF2,1.9008085,0.2931416,0.05732710188637888,1.0,False
CBX6,1.9000703,1.1114548,0.057423887081950564,1.0,False
MARCH6,1.8942883,2.547785,0.058186748204722805,1.0,False
FAM102A,1.891951,2.4003625,0.058497519766615956,1.0,False
C6orf1,1.8904747,2.3292444,0.05869450592863047,1.0,False
CCDC53,1.8808789,2.6604939,0.059988384483416285,1.0,False
GBAS,1.8789107,2.8318808,0.06025669807748471,1.0,False
C1QB,1.8749739,5.0553317,0.060796310364441435,1.0,False
RPS29,1.8727596,0.096278965,0.061101597731625316,1.0,False
ANKRD12,1.8685768,0.18027371,0.06168171609899393,1.0,False
HSPB11,1.8666085,1.4925191,0.061956286454477254,1.0,False
MRFAP1,1.8621796,0.57846594,0.0625777690275521,1.0,False
PNISR,1.8586121,0.18537346,0.06308214919376182,1.0,False
H2AFJ,1.8557825,2.6043558,0.06348456007543032,1.0,False
NARS,1.8502465,2.3242083,0.0642780204866147,1.0,False
FAM105A,1.8319163,2.8749633,0.06696388740289445,1.0,False
DEK,1.8287177,0.32754847,0.06744189986826406,1.0,False
ILF3-AS1,1.8269955,2.2983232,0.06770045197249176,1.0,False
C1QA,1.8268725,3.9779446,0.06771895113922508,1.0,False
CD4,1.824289,0.5926629,0.0681083951610524,1.0,False
DDX24,1.8164155,0.25419232,0.06930664505499247,1.0,False
NDUFA4,1.8159235,0.077108726,0.06938210696184376,1.0,False
MT1X,1.8133401,0.6185625,0.06977938975252614,1.0,True
C5orf56,1.8117408,2.7947874,0.07002626120104627,1.0,False
APRT,1.7991925,0.122087315,0.07198822702953578,1.0,False
TRIM56,1.7745882,0.8258856,0.07596590529195747,1.0,False
LDHB,1.7691753,0.16087559,0.07686463229798055,1.0,False
C1QC,1.7657306,7.831615,0.07744104857845506,1.0,False
