gene,scores,log2FC,pvalue,padj,is_zinc
BCAS3,20.284906,1.7080033,1.7479578975573934e-91,4.344393135919458e-89,False
IFI16,20.273201,0.85668594,2.2175179923457e-91,5.4849454649135375e-89,False
SETX,20.252935,1.1717582,3.3468390382453e-91,8.238668652614553e-89,False
EIF4G3,20.242132,1.6870974,4.167371698189878e-91,1.0209663768022516e-88,False
FBXO11,20.200443,1.4504997,9.70211762388262e-91,2.3656613626232847e-88,False
SH3KBP1,20.12504,0.92528564,4.454111330199142e-90,1.0708183164303057e-87,False
ATRX,20.089294,0.8186239,9.15521654768065e-90,2.1907794462561583e-87,False
FTX,20.04306,1.3013877,2.3205364936311772e-89,5.501703296052387e-87,False
RNF213,20.009632,0.78890264,4.539884545221588e-89,1.0714127526722948e-86,False
FYN,20.007877,1.0980598,4.702531736962617e-89,1.1047299214760399e-86,False
PITPNC1,20.00741,1.3090677,4.7467624444408574e-89,1.1100519738254238e-86,False
STK10,19.980192,1.0311643,8.190709384497684e-89,1.9067674950843297e-86,False
DLEU2,19.972723,1.5549002,9.512237245618534e-89,2.204439557714335e-86,False
MEF2C,19.955011,0.94914395,1.3559338069198704e-88,3.128254820556659e-86,False
DIAPH2,19.946424,1.6344719,1.6100110052572788e-88,3.6814153865989545e-86,False
NR3C1,19.94347,0.9743108,1.7079897646636622e-88,3.888170681965314e-86,False
ERBIN,19.83047,1.2097898,1.6251995693810537e-87,3.6672485721717736e-85,False
TEX14,19.821419,1.6266975,1.9454621516498013e-87,4.3707483309204796e-85,False
XRN1,19.817354,1.2084572,2.10910857086964e-87,4.7178007719174457e-85,False
TGFBR2,19.715353,0.9883109,1.5920393580678634e-86,3.5304845212877344e-84,False
PIK3CD,19.700657,1.270238,2.128425695804028e-86,4.6997100943229885e-84,False
CEP350,19.679663,1.2822233,3.221449391258139e-86,7.082783259890973e-84,False
MTDH,19.654072,0.70984113,5.335559946029742e-86,1.1681016515035668e-83,False
NFATC3,19.638187,1.1139803,7.295688414232632e-86,1.5904600743027137e-83,False
RPS6KA3,19.617622,1.3862938,1.0934873442708091e-85,2.3737441724913327e-83,False
PRKCE,19.589052,1.690427,1.917254741375442e-85,4.144492518247217e-83,False
MBD5,19.5776,1.2394974,2.4006779638561408e-85,5.1677857692247165e-83,False
STK17B,19.565363,0.6972162,3.052246893618605e-85,6.5429999242870826e-83,False
ZEB2,19.54856,1.1907591,4.243327562146687e-85,9.058535950926255e-83,False
AKT3,19.468422,1.6052717,2.0344443968290703e-84,4.325127906118265e-82,False
BRD2,19.461037,0.93121636,2.3498530179848394e-84,4.975112677748314e-82,False
PPP1R12A,19.435036,0.86870867,3.901451428137735e-84,8.226306273558615e-82,False
VTI1A,19.349072,1.2773474,2.0754546968040102e-83,4.358285438415213e-81,False
SENP6,19.326563,1.0657855,3.2111180682645878e-83,6.7156748933364445e-81,False
TRAPPC9,19.292137,1.5104719,6.2533494244961686e-83,1.3025195189938416e-80,False
AP3B1,19.264637,1.157139,1.064092593902073e-82,2.207477248833623e-80,False
ETV6,19.259682,1.6824121,1.1709636057259376e-82,2.4194271320236157e-80,False
ATF7IP,19.216616,1.0660609,2.6874067138019883e-82,5.508434287318116e-80,False
TNFAIP8,19.212643,0.6913657,2.901131574671228e-82,5.9229133830827514e-80,False
PIP4K2A,19.196466,1.131877,3.961413197425473e-82,8.055604196883231e-80,False
ROCK1,19.17025,0.83468926,6.559373738375606e-82,1.3286088979997961e-79,False
CARD11,19.159288,1.3263041,8.097412260658372e-82,1.62657853964401e-79,False
R3HDM2,19.15911,1.3924695,8.125304864883194e-82,1.62657853964401e-79,False
FRYL,19.157232,1.192982,8.423475566053912e-82,1.6797324454354328e-79,False
NCOR1,19.135483,0.72286266,1.2788794560225835e-81,2.540378002063702e-79,False
RICTOR,19.131927,1.0684752,1.3691489384439133e-81,2.709229791733171e-79,False
HSP90AA1,19.12918,0.5055258,1.443237083950817e-81,2.8448912450230514e-79,False
MYO9B,19.115528,1.3349336,1.8751055216106714e-81,3.6820774380086194e-79,False
OGA,19.102049,1.23989,2.4277311078239597e-81,4.749122054575174e-79,False
BCL2,19.094349,1.1636863,2.813470037839774e-81,5.482856307075027e-79,False
IQGAP2,19.084305,1.3198496,3.409884284980156e-81,6.620065158251286e-79,False
H3-3B,19.081558,0.712892,3.59377705060137e-81,6.950851191704484e-79,False
SKAP1,18.982388,0.9391021,2.385085074085837e-80,4.57865137655105e-78,False
KDM2A,18.979883,1.2044941,2.5014952141229838e-80,4.784272333687706e-78,False
ENSG00000228655,18.970135,2.4594655,3.011316010682381e-80,5.738006893243968e-78,False
PPP6R3,18.967909,1.3459321,3.1415655427295066e-80,5.96410568421947e-78,False
RAD51B,18.86963,1.5624671,2.027085294192707e-79,3.8341722138097935e-77,False
RABEP1,18.86423,1.2149731,2.245249683389061e-79,4.231267608461554e-77,False
PUM2,18.833422,1.1471046,4.019308312978942e-79,7.519468148586931e-77,False
ANKRD12,18.781084,0.6160576,1.0785405022429015e-78,1.9959982647263596e-76,False
TTC17,18.739952,0.9988544,2.338389088686682e-78,4.312023004829835e-76,False
ZNF292,18.738224,0.9985118,2.415553758600789e-78,4.438407491874764e-76,False
RAP1GAP2,18.715715,1.6074753,3.6864173247351663e-78,6.749423434981311e-76,False
MBP,18.678883,0.8344873,7.354263710981651e-78,1.3369687611398727e-75,False
PTEN,18.661104,1.3055892,1.0258938875453753e-77,1.8584573495223402e-75,False
AFF3,18.599333,1.2058781,3.253340976949283e-77,5.852373656716319e-75,False
PNRC1,18.577269,0.59656304,4.90853513214802e-77,8.799105068946039e-75,False
ENSG00000289901,18.54554,0.84277695,8.860518304483727e-77,1.5828331448926347e-74,False
LINC00910,18.525597,1.439501,1.2837056173180313e-76,2.2852625121030477e-74,False
ZNF148,18.495773,1.1251453,2.2331233893929186e-76,3.961714901292651e-74,False
AKAP9,18.47508,0.8441784,3.277430412455004e-76,5.794406868040723e-74,False
GLG1,18.463495,0.8957957,4.0618035739779637e-76,7.156564050480077e-74,False
PIAS1,18.402508,0.89077,1.2542534947917808e-75,2.2023492764521343e-73,False
PPP3CC,18.345057,0.89218396,3.615535244438048e-75,6.326940722988051e-73,False
UBE2E2,18.33477,1.3477007,4.3686454090657606e-75,7.618917593410687e-73,False
XYLT1,18.315313,1.8522221,6.246641399410781e-75,1.0857338064759657e-72,False
FBXW7,18.304256,1.4503474,7.652979243290297e-75,1.3212432084187892e-72,False
TANK,18.217978,1.0088321,3.7164410428519205e-74,6.394764507446341e-72,False
VPS13C,18.215662,0.88184065,3.8770559220018376e-74,6.648892435838352e-72,False
CCDC91,18.164282,0.9606178,9.899465847547572e-74,1.6920522223409551e-71,False
JAK1,18.158546,0.5894422,1.0989772091623095e-73,1.8721913727477648e-71,False
GOLGA4,18.140354,1.125955,1.5303988916091335e-73,2.5985466064523663e-71,False
TMEM131,18.125528,1.5122148,2.004073058765439e-73,3.3916299581369835e-71,False
ACTR2,18.11648,0.670434,2.3623667547094497e-73,3.984886714632517e-71,False
SFPQ,18.111887,0.8557265,2.5679009254552184e-73,4.317430288000656e-71,False
MTSS1,18.10455,1.0945134,2.933993133379001e-73,4.9168755285369005e-71,False
FAM117B,18.079098,1.4694604,4.656415166634922e-73,7.77802751600758e-71,False
KMT2A,18.06928,1.0989487,5.5634046320433126e-73,9.262978689623441e-71,False
PCNX1,18.025738,1.5200281,1.22367256026742e-72,2.0308227703431685e-70,False
AFF1,18.005432,1.4899168,1.7661803438736228e-72,2.921750685903863e-70,False
PLCG2,18.002117,1.2887437,1.8751367317225484e-72,3.092052390181464e-70,False
JARID2,17.991415,1.2257833,2.274727720825553e-72,3.738983762972303e-70,False
SCAF11,17.978441,0.6901118,2.874591129005349e-72,4.709935172135898e-70,False
ARHGAP25,17.972042,0.93893087,3.2261839560558747e-72,5.269228957814687e-70,False
CCDC88C,17.967205,1.0362222,3.5201170842889544e-72,5.713027878627701e-70,False
MKLN1,17.959284,1.2229284,4.060158072614266e-72,6.56877397861191e-70,False
WSB1,17.863605,0.8421735,2.2652277450572978e-71,3.653336583940685e-69,False
SETD2,17.84425,1.194285,3.203814756193801e-71,5.150933174270583e-69,False
LRRFIP1,17.840857,0.60240823,3.4043383475125997e-71,5.456274121583434e-69,False
EPS15,17.79575,1.0918503,7.62411944762024e-71,1.2181543395688389e-68,False
PTPRA,17.791388,1.3163067,8.241390455221911e-71,1.312702960186554e-68,False
RAPGEF6,17.773901,1.1695813,1.1258184347293934e-70,1.782187902460241e-68,False
KAT6A,17.75418,1.1546845,1.5999033353561858e-70,2.5249026624970873e-68,False
JAZF1,17.730268,1.158588,2.4486370629733317e-70,3.840776817556462e-68,False
SEL1L3,17.6991,1.2782087,4.260517134907435e-70,6.662464606587165e-68,False
LYST,17.673515,1.0005844,6.70835771457401e-70,1.045853296058799e-67,False
TBL1X,17.671417,1.7241741,6.962585171172615e-70,1.082208706605706e-67,False
KDM6A,17.61759,1.3850281,1.8053323262628892e-69,2.7976125759509977e-67,False
SSBP2,17.61338,1.1748992,1.9447626138255762e-69,3.004629037720668e-67,False
TUT4,17.56604,1.1877697,4.48406299980861e-69,6.907068060303993e-67,False
PAFAH1B1,17.548504,0.9808487,6.106693029047856e-69,9.378422177864302e-67,False
CAPZA1,17.544144,0.75271386,6.594016408342846e-69,1.0096695124298296e-66,False
CEMIP2,17.537115,1.3292882,7.462002790997342e-69,1.1391843311312499e-66,False
PDS5A,17.520477,1.1963863,9.998183904923244e-69,1.521853744202636e-66,False
SPG11,17.49514,1.1461616,1.5602897479661867e-68,2.3679583172083888e-66,False
NSMCE2,17.458887,1.4259614,2.9462562744819567e-68,4.4582056708690503e-66,False
