gene,scores,log2FC,pvalue,padj,is_zinc
ENSG00000284707,7.798509,1.7358884,6.264279261108382e-15,7.13019113773239e-13,False
TERF2IP,7.7784424,0.8559639,7.342280733374056e-15,8.320388968516045e-13,False
PCBP2,7.7691226,0.518359,7.903172369190512e-15,8.936316748354141e-13,False
YWHAZ,7.768139,0.57722265,7.964758222432325e-15,8.986203531309172e-13,False
SNX29,7.742349,1.7443353,9.759642611201193e-15,1.0987179279235863e-12,False
PPP6R3,7.7419863,1.3843391,9.787572682146499e-15,1.0994564177971027e-12,False
LPP,7.7403913,0.94059694,9.911126084173639e-15,1.1109098361188789e-12,False
BABAM2,7.736777,2.2201345,1.0196890989291715e-14,1.1404557556893048e-12,False
FAM172A,7.7246304,1.1666032,1.1217831606194034e-14,1.251919740727702e-12,False
HLA-A,7.7232485,0.3373129,1.1340189753194572e-14,1.2628356762388621e-12,False
SNX2,7.7196693,1.2338187,1.1663203569517354e-14,1.2960010739622653e-12,False
RAC1,7.7069736,1.0794662,1.2883643306913542e-14,1.4285294845993275e-12,False
SMARCA2,7.704041,1.2924664,1.318293810623488e-14,1.458571612235639e-12,False
ATP11B,7.6897244,1.5213801,1.4745241371005558e-14,1.6279252747971972e-12,False
STAT1,7.688989,1.4376749,1.48302243364167e-14,1.6338016737900778e-12,False
MDFIC,7.684825,1.3098896,1.532062201861522e-14,1.6814440586411759e-12,False
HLA-DPA1,7.684763,0.7633999,1.5328045084409724e-14,1.6814440586411759e-12,False
RNASEK,7.6826634,0.7250372,1.5581467651395612e-14,1.7056071228276628e-12,False
SET,7.6736445,0.67043537,1.6717707437461644e-14,1.8260989644215e-12,False
CD53,7.673184,0.63368046,1.677788586280643e-14,1.8287895590459006e-12,False
RC3H1,7.672174,1.4817965,1.6910562228420425e-14,1.8393543457246806e-12,False
SMARCC1,7.6718016,1.2600445,1.695970273705978e-14,1.8408075662790117e-12,False
CCDC91,7.670012,1.0549717,1.7198014766971346e-14,1.862744134170825e-12,False
CCDC18-AS1,7.6693563,1.2483186,1.7286139152319965e-14,1.8683556451860454e-12,False
DOCK11,7.667292,1.4796665,1.7566523440502046e-14,1.894680289238887e-12,False
OSBPL8,7.661817,0.83919907,1.8332056998612755e-14,1.968993044811334e-12,False
CNN2,7.646384,0.68373865,2.0670977056801124e-14,2.2155842242048005e-12,False
CDK17,7.6347427,1.9931748,2.2627184035005257e-14,2.4202148944551986e-12,False
BPTF,7.6296043,0.84588563,2.354754575023568e-14,2.5134318127761935e-12,False
H2AZ1,7.6125145,0.89677244,2.6881420720378774e-14,2.8633443752009256e-12,False
XRN1,7.6043816,1.176465,2.8626972240277234e-14,3.042976173177238e-12,False
ACAP2,7.6000047,0.85787547,2.9611952819716936e-14,3.1411871106573132e-12,False
